month,reported_phishing_bypassing_filter
2023-01,9
2023-02,9
2023-03,6
2023-04,9
2023-05,4
2023-06,6
2023-07,8
2023-08,9
2023-09,8
2023-10,13
2023-11,4
2023-12,6
2024-01,8
2024-02,14
2024-03,7
2024-04,5
2024-05,9
2024-06,6
2024-07,15
2024-08,11
2024-09,11
2024-10,14
2024-11,6
2024-12,8
2025-01,12
2025-02,7
2025-03,11
2025-04,16
2025-05,10
2025-06,8
2025-07,17
2025-08,13
2025-09,11
2025-10,12
2025-11,16
2025-12,10
2026-01,19
2026-02,18
2026-03,14
2026-04,12
2026-05,12
2026-06,16
2026-07,18
2026-08,24
